Distance(m),Time(s),Temp(C)
0.036358,0.000212,22.8311
0.039445,0.00023,24.23554
0.0361865,0.000211,24.23554
0.068943,0.000402,24.23554
0.102557,0.000598,24.23554
0.154007,0.000898,24.23554
0.1737295,0.001013,24.23554
0.2279235,0.001329,24.23554
0.2629095,0.001533,24.23554
0.3078425,0.001795,24.23554
0.339227,0.001978,24.23554
0.3925635,0.002289,24.23554
0.43561,0.00254,24.23554
0.4899755,0.002857,24.23554
0.4995795,0.002913,24.23554
0.5578895,0.003253,24.23554
0.6028225,0.003515,24.23554
0.629748,0.003672,24.23554
0.6722799,0.00392,24.23554
0.7338485,0.004279,24.23554
0.759059,0.004426,24.23554
0.7887285,0.004599,24.23554
0.8338329,0.004862,24.23554
0.912037,0.005318,24.23554
0.9633155,0.005617,23.76739
1.025398,0.005979,23.76739
1.09417,0.00638,24.23554
1.170659,0.006826,24.23554
1.228454,0.007163,24.23554
1.294653,0.007549,24.23554
1.357937,0.007918,24.23554
1.427394,0.008323,23.76739
1.566824,0.009136,24.23554
1.562365,0.009110001,24.23554
1.562708,0.009112,24.23554
