Distance(m),Time(s),Temp(C)
0.036358,0.000106,23.76739
0.0396165,0.0001155,23.76739
0.0591675,0.0001725,23.76739
0.099127,0.000289,23.76739
0.1404585,0.00040950005,23.76739
0.1929375,0.0005625,23.76739
0.2659965,0.0007755,23.76739
0.2718275,0.0007925,23.76739
0.30527,0.00089,23.76739
0.3263645,0.0009515,23.76739
0.347116,0.001012,23.76739
0.3764425,0.0010975,23.76739
0.3949645,0.0011515,23.76739
0.408856,0.001192,23.76739
0.410914,0.001198,23.76739
0.4316655,0.0012585,23.76739
0.4659655,0.0013585,23.76739
0.4759125,0.0013875,23.76739
0.510041,0.001487,23.76739
0.5321645,0.0015515,23.76739
0.5578895,0.0016265,23.29925
0.6045375,0.0017625,23.76739
0.635579,0.001853,23.76739
0.6679925,0.0019475,23.76739
0.68943,0.00201,23.76739
0.7060656,0.0020585,23.76739
0.7321335,0.0021345,23.76739
0.731276,0.002132,23.29925
0.7985039,0.002328,23.76739
0.825944,0.002408,23.76739
0.903462,0.0026340005,23.76739
0.9773785,0.0028495,23.76739
1.067416,0.003112,23.76739
1.124182,0.0032775,23.29925
1.249206,0.003642,23.29925
1.333241,0.003887,23.29925
1.425679,0.0041565,23.76739
1.564423,0.004561,23.29925
1.572655,0.004585,23.29925
1.564594,0.0045615,23.29925
